Bin	Id	#	markers	marker	Contamination	ambiguous	#
3300020496-bin.5	k__Bacteria	52.50	1.20	522627	105	29.2	609
3300020496-bin.6	k__Bacteria	15.80	0.00	315307	67	38.9	365
3300020496-bin.7	root	0.00	0.00	438234	120	36.3	559
3300020496-bin.8	k__Bacteria	50.11	0.11	579324	119	29.5	690
3300020496-bin.9	k__Bacteria	21.87	0.00	267105	59	39.1	315
3300020497-bin.1	k__Bacteria	45.30	0.00	662327	168	38.1	809
3300020497-bin.10	k__Bacteria	71.58	5.64	1198340	223	51.8	1388
3300020497-bin.11	k__Bacteria	45.82	0.00	437164	97	29.1	537
3300020497-bin.12	k__Bacteria	69.12	2.59	744405	120	39.8	836
3300020497-bin.13	k__Bacteria	19.83	0.00	333956	91	51.8	378
3300020497-bin.14	k__Bacteria	87.18	2.99	1871621	237	51.5	2013
3300020497-bin.15	o__Actinomycetales	69.70	2.57	991473	131	38.7	1092
3300020497-bin.16	root	0.00	0.00	302345	7	30.8	400
3300020497-bin.17	root	4.17	0.00	397533	92	57.5	421
3300020497-bin.18	k__Bacteria	37.04	3.21	1099682	276	52.5	1273
3300020497-bin.19	k__Bacteria	26.72	0.00	612339	142	45.8	704
3300020497-bin.2	k__Bacteria	65.56	3.61	667757	126	29.4	804
3300020497-bin.20	k__Bacteria	75.59	20.49	2448137	485	58.1	2723
3300020497-bin.21	c__Betaproteobacteria	19.75	0.00	237049	57	36.0	311
3300020497-bin.22	k__Bacteria	42.83	0.00	622462	147	46.3	727
3300020497-bin.23	root	0.00	0.00	283934	26	28.8	451
3300020497-bin.24	k__Archaea	4.06	0.36	222750	55	23.7	231
3300020497-bin.25	k__Bacteria	9.12	0.00	236518	67	40.5	292
3300020497-bin.26	o__Actinomycetales	83.59	1.45	1115662	80	49.0	1142
3300020497-bin.27	k__Bacteria	86.21	2.56	1421481	207	54.2	1606
3300020497-bin.28	k__Bacteria	92.31	2.14	2077447	154	52.3	2179
3300020497-bin.29	o__Actinomycetales	82.18	1.79	1035471	161	50.2	1143
3300020497-bin.3	k__Bacteria	58.06	0.57	741494	149	62.4	860
3300020497-bin.30	k__Bacteria	90.17	2.14	1842193	166	51.3	1982
3300020497-bin.31	k__Bacteria	99.46	4.64	2429201	185	39.5	2315
3300020497-bin.4	o__Burkholderiales	29.57	0.44	437688	114	45.5	548
3300020497-bin.5	k__Bacteria	54.39	0.00	792112	158	49.1	900
3300020497-bin.6	root	4.17	0.00	386325	95	51.6	447
3300020497-bin.7	o__Actinomycetales	52.14	1.79	736004	148	42.1	868
3300020497-bin.8	o__Actinomycetales	50.32	0.54	669563	147	45.0	806
3300020497-bin.9	o__Actinomycetales	77.90	3.19	1198412	190	45.9	1336
3300020498-bin.1	root	0.00	0.00	274126	41	39.3	397
3300020498-bin.2	k__Bacteria	59.98	5.04	537876	127	29.8	685
3300020498-bin.3	p__Cyanobacteria	35.69	0.28	859771	235	67.8	1126
3300020498-bin.4	k__Bacteria	13.79	0.00	501672	155	41.6	546
3300020498-bin.5	o__Actinomycetales	63.70	0.79	824420	129	40.6	917
3300020498-bin.6	o__Actinomycetales	63.07	0.79	938184	140	42.3	1046
3300020498-bin.7	p__Cyanobacteria	98.64	1.22	3712050	101	65.0	3768
3300020499-bin.1	o__Actinomycetales	29.09	0.00	409814	102	50.5	521
3300020499-bin.10	c__Betaproteobacteria	80.40	0.53	948128	108	36.8	1083
3300020499-bin.11	o__Actinomycetales	52.16	0.00	727361	146	47.8	829
3300020499-bin.12	k__Bacteria	54.74	0.33	520475	119	29.4	657
3300020499-bin.13	o__Actinomycetales	68.97	1.63	941478	99	40.7	1015
3300020499-bin.14	o__Actinomycetales	43.33	0.59	631404	152	44.0	745
3300020499-bin.15	k__Bacteria	49.10	0.60	400336	94	29.3	504
3300020499-bin.16	k__Bacteria	81.62	2.31	1548460	176	59.8	1696
3300020499-bin.2	o__Actinomycetales	58.53	2.55	907148	148	42.2	1037
3300020499-bin.3	k__Bacteria	37.93	0.00	570673	120	45.7	647
3300020499-bin.4	k__Bacteria	75.07	3.92	1316457	225	50.0	1468
3300020499-bin.5	o__Actinomycetales	72.72	0.32	1035864	121	38.7	1150
3300020499-bin.6	k__Bacteria	15.62	0.85	255062	69	49.5	300
3300020499-bin.7	k__Bacteria	85.47	2.14	1796883	296	67.1	1955
3300020499-bin.8	o__Actinomycetales	77.33	0.66	1122550	126	48.9	1217
3300020499-bin.9	p__Cyanobacteria	94.92	1.36	2605293	203	68.1	2884
3300020500-bin.1	o__Actinomycetales	77.94	1.30	972962	156	50.2	1116
3300020500-bin.10	k__Bacteria	33.33	3.51	641327	124	49.5	708
3300020500-bin.11	o__Actinomycetales	87.13	1.02	1335224	117	55.2	1337
3300020500-bin.12	k__Bacteria	25.86	0.00	318661	87	38.1	409
3300020500-bin.13	k__Bacteria	32.93	0.00	369286	86	28.9	465
3300020500-bin.14	k__Bacteria	16.11	0.00	480434	130	49.4	559
3300020500-bin.15	k__Bacteria	93.07	1.28	1886585	105	53.5	1932
3300020500-bin.16	k__Bacteria	47.65	1.20	451987	109	29.7	558
3300020500-bin.2	c__Betaproteobacteria	46.38	0.00	531191	109	36.2	655
3300020500-bin.3	o__Actinomycetales	73.48	0.81	1028350	122	38.7	1133
3300020500-bin.4	k__Bacteria	51.24	0.00	1213330	266	58.0	1325
3300020500-bin.5	o__Actinomycetales	71.56	0.39	925561	108	39.8	1015
3300020500-bin.6	k__Bacteria	46.00	0.86	965772	166	46.5	1057
3300020500-bin.7	o__Actinomycetales	58.34	0.70	802877	141	42.1	924
3300020500-bin.8	k__Bacteria	55.05	0.00	989846	135	45.9	1064
3300020500-bin.9	p__Cyanobacteria	92.26	0.56	3750821	406	37.2	3545
3300020501-bin.1	k__Bacteria	13.79	0.00	282720	80	51.8	366
3300020501-bin.10	o__Actinomycetales	76.75	1.18	991738	74	40.7	1039
3300020501-bin.11	k__Bacteria	34.31	0.00	345607	82	29.1	437
3300020501-bin.12	c__Betaproteobacteria	43.37	0.00	485974	103	36.6	614
3300020501-bin.13	k__Bacteria	68.97	0.00	1122744	124	46.0	1203
3300020501-bin.14	k__Bacteria	22.41	0.00	328857	95	36.1	383
3300020501-bin.15	p__Cyanobacteria	95.48	0.22	4056456	399	39.9	3785
3300020501-bin.16	k__Bacteria	16.38	0.00	261151	70	46.1	320
3300020501-bin.17	k__Bacteria	36.21	0.00	214348	55	43.9	255
3300020501-bin.18	k__Bacteria	70.19	1.46	720543	136	29.5	877
3300020501-bin.2	k__Bacteria	0.94	0.00	716066	156	37.4	709
3300020501-bin.3	k__Bacteria	24.89	0.00	326275	87	53.6	421
3300020501-bin.4	o__Actinomycetales	67.52	0.13	1005632	185	44.1	1146
3300020501-bin.5	k__Bacteria	45.30	0.86	465136	97	39.5	543
3300020501-bin.6	k__Bacteria	66.68	0.00	736373	122	39.6	827
3300020501-bin.7	o__Actinomycetales	80.63	0.63	1126286	126	48.9	1220
3300020501-bin.8	k__Bacteria	45.78	0.93	684248	143	62.4	782
3300020501-bin.9	o__Actinomycetales	77.22	2.00	1048376	122	38.8	1175
3300020502-bin.1	k__Bacteria	11.85	0.00	323673	103	67.2	332
3300020502-bin.10	o__Actinomycetales	66.57	3.42	947528	148	38.7	1078
3300020502-bin.11	k__Bacteria	48.05	0.07	596881	117	29.2	741
3300020502-bin.12	p__Cyanobacteria	43.05	0.00	1709596	439	41.8	1818
3300020502-bin.13	k__Bacteria	75.17	0.08	1550233	257	58.0	1602
3300020502-bin.2	root	0.00	0.00	291526	92	37.6	325
3300020502-bin.3	k__Bacteria	28.76	0.00	1137962	322	43.5	1207
3300020502-bin.4	k__Bacteria	53.52	0.93	547222	117	62.3	638
3300020502-bin.5	k__Bacteria	77.78	6.41	1673447	287	51.6	1861
3300020502-bin.6	k__Bacteria	41.16	0.07	300292	64	28.4	372
3300020502-bin.7	k__Bacteria	95.44	2.09	1668780	187	54.2	1823
3300020502-bin.8	k__Bacteria	76.32	3.42	1335045	198	51.9	1517
3300020502-bin.9	root	0.00	0.00	836635	173	39.2	862
3300020503-bin.1	k__Bacteria	87.18	2.56	1768007	178	51.3	1905
3300020503-bin.10	o__Actinomycetales	75.55	1.93	1141754	175	45.8	1267
3300020503-bin.11	k__Bacteria	59.59	3.42	1425704	253	51.3	1591
3300020503-bin.12	o__Burkholderiales	87.56	2.50	2327957	355	51.5	2519
3300020503-bin.2	k__Bacteria	83.13	4.16	784862	121	29.6	962
3300020503-bin.3	c__Betaproteobacteria	33.36	0.00	373394	84	36.0	456
3300020503-bin.4	k__Bacteria	47.26	0.23	2199065	536	61.0	2417
3300020503-bin.5	k__Archaea	1.29	0.00	480532	99	29.2	491
3300020503-bin.6	root	0.00	0.00	785477	175	38.2	765
3300020503-bin.7	k__Bacteria	96.51	2.33	4706199	285	43.9	3874
3300020503-bin.8	k__Bacteria	91.50	1.71	1658892	212	54.1	1845
3300020503-bin.9	k__Bacteria	84.99	2.23	1508070	219	51.9	1711
3300020504-bin.1	c__Betaproteobacteria	44.85	0.00	488007	98	36.2	603
3300020504-bin.10	p__Cyanobacteria	39.23	0.69	1001838	251	67.3	1254
3300020504-bin.11	k__Bacteria	84.47	2.99	1351879	206	52.0	1563
3300020504-bin.12	o__Actinomycetales	74.24	3.95	1026818	91	40.6	1096
3300020504-bin.13	k__Bacteria	75.93	2.88	979771	170	62.6	1087
3300020504-bin.14	o__Actinomycetales	71.37	1.58	1023169	123	42.3	1117
3300020504-bin.15	k__Bacteria	45.69	0.00	595466	142	46.1	690
3300020504-bin.16	k__Bacteria	42.71	1.20	475984	110	29.0	585
3300020504-bin.2	o__Actinomycetales	37.33	0.00	387904	97	50.3	469
3300020504-bin.3	k__Bacteria	86.47	0.00	4365086	561	68.0	3651
3300020504-bin.4	k__Bacteria	23.43	1.72	475193	110	45.4	550
3300020504-bin.5	k__Bacteria	63.71	2.81	608464	118	29.6	708
3300020504-bin.6	o__Actinomycetales	67.61	0.53	888643	86	39.9	952
3300020504-bin.7	p__Cyanobacteria	23.24	0.28	662065	181	67.0	841
3300020504-bin.8	k__Bacteria	46.66	2.59	758511	162	38.3	889
3300020504-bin.9	o__Actinomycetales	72.75	1.76	1071353	114	38.7	1157
3300020505-bin.1	c__Betaproteobacteria	42.90	0.00	534668	127	36.8	663
3300020505-bin.10	k__Archaea	3.67	0.00	533328	34	32.0	546
3300020505-bin.11	o__Burkholderiales	73.56	1.36	1684031	324	51.7	1891
3300020505-bin.12	k__Bacteria	36.04	0.85	830943	199	51.1	1000
3300020505-bin.13	k__Archaea	2.66	0.00	383409	14	31.7	357
3300020505-bin.14	k__Bacteria	72.80	1.50	3305740	657	43.6	3102
3300020505-bin.2	k__Bacteria	6.07	1.72	1532914	169	22.7	1460
3300020505-bin.3	k__Bacteria	19.28	0.00	570645	134	45.3	680
3300020505-bin.4	root	8.33	0.00	278522	75	45.5	324
3300020505-bin.5	k__Bacteria	46.30	0.85	673549	160	53.9	809
3300020505-bin.6	k__Bacteria	23.33	0.00	328938	81	29.5	425
3300020505-bin.7	k__Archaea	1.50	0.00	343019	36	33.3	379
3300020505-bin.8	k__Bacteria	17.01	0.00	332016	84	45.8	399
3300020505-bin.9	p__Bacteroidetes	22.19	0.00	711734	197	35.0	751
3300020506-bin.1	o__Actinomycetales	49.04	0.81	667251	142	38.5	801
3300020506-bin.10	k__Bacteria	37.62	0.73	1109332	270	61.3	1074
3300020506-bin.11	root	0.00	0.00	258185	43	31.4	375
3300020506-bin.12	root	0.00	0.00	241247	50	31.4	360
3300020506-bin.13	root	0.00	0.00	213106	14	31.6	269
3300020506-bin.14	root	4.17	0.00	233348	47	30.8	320
3300020506-bin.15	o__Actinomycetales	74.46	1.95	976127	100	40.7	1052
3300020506-bin.16	k__Bacteria	59.99	0.60	566722	107	29.3	679
3300020506-bin.2	root	0.00	0.00	205963	30	31.6	278
3300020506-bin.3	c__Betaproteobacteria	26.77	0.55	981640	275	62.5	1193
3300020506-bin.4	k__Bacteria	43.10	0.00	756758	163	46.1	877
3300020506-bin.5	k__Bacteria	69.59	0.00	742064	137	29.6	904
3300020506-bin.6	root	0.00	0.00	207490	13	32.6	259
3300020506-bin.7	o__Actinomycetales	70.20	0.00	1013577	102	42.3	1097
3300020506-bin.8	p__Cyanobacteria	98.64	0.82	2864493	136	67.8	3115
3300020506-bin.9	root	0.00	0.00	722697	98	33.4	1097
3300020507-bin.1	o__Actinomycetales	68.66	2.37	1003605	108	42.3	1095
3300020507-bin.10	k__Bacteria	49.82	1.20	332305	84	29.0	417
3300020507-bin.11	k__Bacteria	42.01	0.00	414453	105	62.2	493
3300020507-bin.12	k__Bacteria	19.83	0.00	584186	131	45.9	647
3300020507-bin.13	o__Actinomycetales	45.90	0.58	539819	100	39.7	626
3300020507-bin.14	p__Cyanobacteria	16.53	0.00	349297	107	67.7	449
3300020507-bin.15	o__Actinomycetales	63.08	2.81	963533	168	44.1	1086
3300020507-bin.16	root	0.00	0.00	518670	124	42.8	544
3300020507-bin.2	o__Actinomycetales	70.08	2.25	935110	117	40.7	1020
3300020507-bin.3	root	0.00	0.00	239945	42	31.4	309
3300020507-bin.4	k__Bacteria	28.30	0.00	239690	58	29.0	316
3300020507-bin.5	o__Actinomycetales	52.75	1.13	809225	156	48.9	917
3300020507-bin.6	k__Bacteria	10.15	0.07	204972	53	30.3	266
3300020507-bin.7	p__Cyanobacteria	34.54	0.22	1912412	518	41.8	2069
3300020507-bin.8	c__Betaproteobacteria	81.37	0.81	971221	123	37.0	1107
3300020507-bin.9	k__Bacteria	71.12	3.45	1071563	151	46.0	1165
3300020508-bin.1	c__Betaproteobacteria	87.18	1.18	1044140	99	37.0	1158
3300020508-bin.10	k__Bacteria	76.94	0.10	970019	160	62.6	1064
3300020508-bin.11	k__Bacteria	45.14	0.00	969779	202	51.8	1156
3300020508-bin.12	k__Bacteria	18.79	0.09	370731	99	51.1	443
3300020508-bin.13	o__Actinomycetales	68.29	1.90	1004321	127	42.3	1109
3300020508-bin.14	k__Bacteria	45.73	0.11	2294414	535	55.2	2113
3300020508-bin.15	root	0.00	0.00	454872	8	37.2	590
3300020508-bin.16	k__Bacteria	48.86	0.00	886361	175	46.3	981
3300020508-bin.17	k__Bacteria	35.50	0.00	821521	141	45.8	915
3300020508-bin.18	k__Bacteria	13.51	0.00	258422	68	38.1	321
3300020508-bin.19	o__Actinomycetales	58.72	0.15	924387	159	55.0	1049
3300020508-bin.2	k__Bacteria	22.41	0.00	347248	81	39.3	411
3300020508-bin.3	k__Bacteria	55.33	0.60	533640	110	29.4	627
3300020508-bin.4	k__Bacteria	96.12	0.00	5675695	510	52.1	4424
3300020508-bin.5	o__Actinomycetales	71.85	1.58	941673	120	39.9	1032
3300020508-bin.6	o__Actinomycetales	51.21	2.16	799390	173	47.4	939
3300020508-bin.7	root	0.00	0.00	479908	87	50.0	450
3300020508-bin.8	k__Bacteria	35.35	0.00	500462	112	29.3	600
3300020508-bin.9	o__Actinomycetales	63.56	2.03	956841	151	38.7	1072
3300020509-bin.1	c__Betaproteobacteria	67.27	0.03	819488	117	36.6	968
3300020509-bin.10	k__Bacteria	76.07	0.85	1260007	196	49.8	1414
3300020509-bin.11	k__Bacteria	86.32	1.71	1732222	189	59.8	1880
3300020509-bin.2	o__Actinomycetales	80.64	4.18	1192019	102	38.8	1271
3300020509-bin.3	p__Cyanobacteria	99.18	0.68	3028046	86	67.5	3249
3300020509-bin.4	k__Bacteria	100.00	2.14	2331221	94	67.2	2283
3300020509-bin.5	k__Bacteria	19.36	0.00	272818	66	62.0	340
3300020509-bin.6	k__Bacteria	47.39	5.04	344122	90	28.6	459
3300020509-bin.7	k__Bacteria	51.14	1.99	774348	173	53.9	955
3300020509-bin.8	root	0.00	0.00	1080417	225	40.1	1196
3300020509-bin.9	k__Bacteria	92.99	3.85	1690287	177	50.0	1809
3300020510-bin.1	k__Bacteria	53.43	0.00	2437445	555	52.5	2289
3300020510-bin.10	p__Cyanobacteria	95.38	1.77	2533127	173	68.3	2803
3300020510-bin.11	k__Bacteria	74.54	1.13	962947	163	62.6	1075
3300020510-bin.12	k__Bacteria	38.95	1.72	889766	156	46.3	967
3300020510-bin.13	root	4.17	0.00	504496	126	52.9	488
3300020510-bin.14	o__Actinomycetales	72.88	0.63	1081126	107	42.3	1163
3300020510-bin.15	k__Bacteria	72.73	5.17	1083731	140	45.9	1157
3300020510-bin.16	k__Bacteria	94.02	3.54	1612450	217	54.3	1820
3300020510-bin.17	p__Cyanobacteria	43.70	0.00	1460178	381	37.5	1620
3300020510-bin.18	k__Archaea	0.29	0.00	662810	51	48.3	602
3300020510-bin.19	k__Bacteria	46.94	2.41	526394	114	29.3	642
3300020510-bin.2	o__Actinomycetales	58.12	0.54	730351	127	39.7	821
3300020510-bin.20	k__Bacteria	39.97	0.00	494486	99	39.2	571
3300020510-bin.21	k__Bacteria	7.76	0.00	321912	83	35.7	414
3300020510-bin.22	k__Bacteria	60.47	0.00	538965	117	29.2	652
3300020510-bin.3	k__Bacteria	82.35	2.75	4022555	647	67.9	3512
3300020510-bin.4	k__Bacteria	33.91	0.00	422109	98	38.2	498
3300020510-bin.5	o__Burkholderiales	63.17	0.70	1492189	322	51.5	1713
3300020510-bin.6	k__Bacteria	95.22	1.35	4630102	575	55.5	3781
3300020510-bin.7	k__Bacteria	60.34	4.31	1406624	201	51.8	1622
3300020510-bin.8	k__Bacteria	54.19	0.00	638038	109	40.0	729
3300020510-bin.9	o__Actinomycetales	74.40	4.05	1094224	117	38.7	1195
3300020511-bin.1	p__Cyanobacteria	69.38	1.60	1717725	349	68.2	2080
3300020511-bin.10	o__Actinomycetales	72.21	0.79	1075815	112	42.3	1167
3300020511-bin.11	k__Bacteria	31.90	0.00	661222	151	46.2	737
3300020511-bin.2	k__Bacteria	29.98	0.60	311209	74	29.0	407
3300020511-bin.3	o__Actinomycetales	44.85	0.00	620951	121	39.8	710
3300020511-bin.4	k__Bacteria	92.38	1.71	1576634	186	54.2	1758
